Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,Quality
-3.97005,-2.51234,5.34633,-1.01201,1.84490,0.32984,-0.49159,Good
-1.19522,-2.83926,3.66406,1.58823,0.85329,0.86753,-0.72281,Good
-0.29202,-1.35128,-1.73843,-0.34262,2.83864,-0.03803,2.62164,Bad
-0.65720,-2.27163,1.32487,-0.09787,3.63797,-3.41376,0.79072,Good
1.36422,-1.29661,-0.38466,-0.55301,3.03087,-1.30385,0.50198,Good
-3.42540,-1.40908,-1.91351,-0.55577,-3.85307,1.91462,-2.98152,Bad
1.33161,1.63596,0.87597,-1.67780,3.10634,-1.84742,2.41417,Good
-1.99546,-0.42896,1.53064,-0.74297,0.15883,0.97444,-1.47013,Good
-3.86763,-3.73451,0.98643,-1.20765,2.29287,4.08092,-4.87190,Bad
-0.72798,-0.44282,-4.09222,0.59751,0.39371,1.62086,2.18561,Bad
-2.69934,-1.32951,-1.41851,-0.62555,2.37107,3.40316,-2.81081,Bad
2.45096,-0.56418,-1.63504,0.94240,-2.08732,1.21432,1.29432,Good
-0.17081,-1.86727,-1.77184,2.41316,-3.09455,-0.62488,-2.07611,Bad
-1.34553,-1.62370,2.04414,1.75481,0.99757,0.43418,1.72403,Good
2.83958,-0.34480,-1.01980,0.89458,-1.30006,0.58238,1.70971,Good
-2.65989,-2.79568,4.23040,0.69755,2.18091,-0.08878,-1.08362,Good
-1.46895,-1.95036,-2.21437,0.90976,2.86445,3.96596,-0.55821,Bad
-0.07437,-4.71475,0.24977,2.93532,1.40976,-2.64381,1.25097,Good
-0.30236,1.72440,-2.44234,3.46511,0.44979,-0.07436,2.49378,Bad
-2.10805,0.35647,-1.15619,4.32672,1.56154,-4.63017,-1.37666,Good
-2.33459,-2.94371,-3.45263,0.76239,4.07646,6.34645,0.72678,Bad
1.17759,-0.72165,-1.38712,7.61985,1.06929,-3.73481,2.64295,Good
-2.42395,-0.69850,0.14603,0.63011,2.99056,0.77947,3.18419,Bad
0.13571,-0.75376,-2.19615,1.03928,0.58054,0.22731,2.08662,Bad
0.52296,-1.42809,-0.74352,1.78672,-4.20754,-1.82523,-1.43043,Bad
-1.29947,-3.50479,-1.12940,0.55591,-2.80755,1.71463,-3.84664,Bad
-0.30070,-0.51360,0.92101,1.37817,2.27475,0.74534,-2.93403,Good
1.99983,0.66999,-2.09962,2.64582,-0.98950,0.37333,-2.39769,Bad
1.44605,1.65669,-1.77752,1.70896,-0.34167,-1.32244,-1.15813,Bad
-0.59583,1.53468,-1.76932,0.66450,-0.43287,0.80044,1.64595,Bad
0.41049,-2.26029,-3.33595,-0.28521,-2.73384,2.58599,-3.03692,Bad
-2.56087,-0.09641,2.41377,1.31829,3.27169,-1.79718,-2.63684,Good
1.68166,-2.98167,-0.07981,-0.94787,3.03481,-0.70861,1.16697,Good
-0.58880,-1.12199,2.32430,0.31193,5.14874,-3.35199,5.56011,Bad
-0.03437,-1.33281,2.32910,2.86276,0.82524,1.06267,2.30033,Good
-0.95540,-2.46110,-4.08716,0.83911,1.00322,4.97564,-0.98139,Bad
-3.06117,0.83710,-1.07664,1.52474,1.76414,-0.05647,-1.49511,Good
3.94811,-1.63418,-4.77378,1.93163,0.79054,1.58310,-2.47806,Good
-1.79672,-3.46923,3.68544,-0.16414,1.32030,1.48011,-2.29296,Good
1.28674,-2.42952,0.95613,1.47754,4.78638,-3.38236,2.51935,Good
1.19655,-1.44810,-0.92152,2.00549,0.40474,-0.70078,1.07113,Bad
-0.35419,-2.02404,1.36698,3.23362,0.99267,1.52561,2.74092,Good
-1.53861,-2.74784,1.84495,0.49125,-0.42582,1.25977,-1.68092,Bad
0.80785,0.75271,0.17923,1.45158,-1.61186,-2.77627,0.18491,Bad
3.93036,2.75441,-2.66795,1.42825,0.09276,1.09579,2.62727,Good
0.03347,-0.04416,-0.48120,4.93721,-0.60987,-3.23150,1.24879,Good
-0.48737,-0.76881,-0.77923,2.02526,1.47793,0.26779,-4.45457,Good
-1.38799,2.73851,-2.34922,0.95344,1.86072,2.31731,3.09782,Bad
-3.32857,0.65258,-1.42440,0.72739,1.57692,2.57780,0.65068,Bad
-1.10706,2.26120,-2.63520,0.88226,-0.02400,2.21810,2.86505,Bad
-2.93862,0.52445,0.80226,-1.47593,-0.33635,1.43065,-2.29888,Good
-0.41131,-1.75860,-2.21386,-0.14954,1.57618,0.92920,1.41698,Bad
1.34376,-2.51442,-3.46154,3.84115,0.28052,-0.02544,0.85623,Good
1.20545,-1.78351,0.65268,2.44298,1.34691,1.11506,-1.19866,Good
3.01034,-3.42303,-3.11098,-1.54304,3.56761,1.69623,0.44584,Good
2.03280,-0.64102,-2.40969,2.93613,1.67548,-0.90459,2.28735,Good
1.82266,-0.54562,-0.36782,0.25298,-0.78911,2.13591,-3.34396,Good
